,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
0,orginal,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.7}",0.9036144578313253,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],2.316187858581543,NearestCentroid(shrink_threshold=0.7)
1,orginal,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.20144391059875488,"KNeighborsClassifier(metric='euclidean', n_neighbors=9)"
2,orginal,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.20102620124816895,DecisionTreeClassifier(min_samples_leaf=4)
3,orginal,LogisticRegression,"{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.23884081840515137,"LogisticRegression(C=1, penalty='l1', solver='liblinear')"
4,orginal,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],33.02210521697998,"MLPClassifier(hidden_layer_sizes=(50,), max_iter=500, solver='sgd')"
5,orginal,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.03760933876037598,GaussianNB()
6,orginal,Perceptron,"{'alpha': 0.1, 'max_iter': 1000, 'penalty': 'l1'}",0.6867469879518072,0.7142857142857143,0.8701298701298702,0.7142857142857143,0.7348901098901099,0.4424778761061947,[10  6  0  5],0.3081815242767334,"Perceptron(alpha=0.1, penalty='l1')"
7,orginal,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.806777477264404,RandomForestClassifier(n_estimators=50)
8,orginal,SVC,"{'C': 0.1, 'coef0': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],9.50724744796753,"SVC(C=0.1, coef0=0.1, degree=4, kernel='poly')"
9,standard_scaled,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.7}",0.8433734939759037,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.10765266418457031,NearestCentroid(shrink_threshold=0.7)
10,standard_scaled,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.3083775043487549,KNeighborsClassifier(metric='euclidean')
11,standard_scaled,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.42983388900756836,DecisionTreeClassifier(min_samples_leaf=4)
12,standard_scaled,LogisticRegression,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.575573205947876,"LogisticRegression(C=0.1, penalty='l1', solver='liblinear')"
13,standard_scaled,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 300, 'solver': 'adam'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],58.225685834884644,"MLPClassifier(activation='tanh', hidden_layer_sizes=(50,), max_iter=300)"
14,standard_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.04547739028930664,GaussianNB()
15,standard_scaled,Perceptron,"{'alpha': 0.01, 'max_iter': 1000, 'penalty': 'l1'}",0.9036144578313253,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.3429677486419678,"Perceptron(alpha=0.01, penalty='l1')"
16,standard_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],22.029258012771606,RandomForestClassifier(n_estimators=50)
17,standard_scaled,SVC,"{'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],4.7859697341918945,"SVC(C=0.1, coef0=0, degree=2, kernel='linear')"
18,minmax_scaled,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.8}",0.7710843373493976,0.8095238095238095,0.8941798941798942,0.8095238095238095,0.8231292517006802,0.588235294117647,[12  4  0  5],0.09567475318908691,NearestCentroid(shrink_threshold=0.8)
19,minmax_scaled,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.2813410758972168,"KNeighborsClassifier(metric='euclidean', n_neighbors=7)"
20,minmax_scaled,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.37987494468688965,DecisionTreeClassifier(min_samples_leaf=4)
21,minmax_scaled,LogisticRegression,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.47841525077819824,"LogisticRegression(C=10, penalty='l1', solver='liblinear')"
22,minmax_scaled,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'adam'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],62.11401057243347,"MLPClassifier(hidden_layer_sizes=(100, 100))"
23,minmax_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.07367062568664551,GaussianNB()
24,minmax_scaled,Perceptron,"{'alpha': 0.0001, 'max_iter': 1000, 'penalty': 'elasticnet'}",0.9036144578313253,0.9523809523809523,0.9551820728291316,0.9523809523809523,0.9504569504569504,0.8590604026845637,[16  0  1  4],0.23369812965393066,Perceptron(penalty='elasticnet')
25,minmax_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.766178607940674,RandomForestClassifier(n_estimators=50)
26,minmax_scaled,SVC,"{'C': 0.1, 'coef0': 0.5, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.9740724563598633,"SVC(C=0.1, coef0=0.5, kernel='poly')"
27,maxabs_scaled,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.5}",0.6144578313253012,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.6462585034013605,0.17647058823529405,[10  6  2  3],0.08607101440429688,NearestCentroid(shrink_threshold=0.5)
28,maxabs_scaled,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.927710843373494,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.2777857780456543,KNeighborsClassifier(metric='euclidean')
29,maxabs_scaled,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.37186741828918457,DecisionTreeClassifier(min_samples_leaf=4)
30,maxabs_scaled,LogisticRegression,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.5412626266479492,"LogisticRegression(C=10, penalty='l1', solver='liblinear')"
31,maxabs_scaled,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 200, 'solver': 'adam'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],53.04132890701294,"MLPClassifier(hidden_layer_sizes=(100, 100), learning_rate='adaptive')"
32,maxabs_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.0909426212310791,GaussianNB()
33,maxabs_scaled,Perceptron,"{'alpha': 0.001, 'max_iter': 1000, 'penalty': 'l2'}",0.7710843373493976,0.8571428571428571,0.9107142857142857,0.8571428571428571,0.8662372110647973,0.6735751295336787,[13  3  0  5],0.287386417388916,"Perceptron(alpha=0.001, penalty='l2')"
34,maxabs_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],22.10097908973694,RandomForestClassifier()
35,maxabs_scaled,SVC,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.8429789543151855,"SVC(C=1, coef0=0, degree=2, gamma=1, kernel='poly')"
36,robust_scaled,NearestCentroid,"{'metric': 'manhattan', 'shrink_threshold': 0.1}",0.8192771084337349,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.18365168571472168,"NearestCentroid(metric='manhattan', shrink_threshold=0.1)"
37,robust_scaled,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.22603464126586914,KNeighborsClassifier(metric='euclidean')
38,robust_scaled,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.3110218048095703,DecisionTreeClassifier(min_samples_leaf=4)
39,robust_scaled,LogisticRegression,"{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.6006877422332764,"LogisticRegression(C=1, penalty='l1', solver='saga')"
40,robust_scaled,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",0.9397590361445783,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],58.582563400268555,"MLPClassifier(learning_rate='adaptive', max_iter=500, solver='sgd')"
41,robust_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.04384756088256836,GaussianNB()
42,robust_scaled,Perceptron,"{'alpha': 0.001, 'max_iter': 1000, 'penalty': 'l2'}",0.9397590361445783,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.39316773414611816,"Perceptron(alpha=0.001, penalty='l2')"
43,robust_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.687206983566284,RandomForestClassifier(n_estimators=50)
44,robust_scaled,SVC,"{'C': 100, 'coef0': 0.5, 'degree': 2, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.799715995788574,"SVC(C=100, coef0=0.5, degree=2, gamma=0.01, kernel='sigmoid')"
45,normalized,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': None}",0.9036144578313253,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.062079668045043945,NearestCentroid()
46,normalized,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.14837884902954102,"KNeighborsClassifier(metric='euclidean', n_neighbors=9)"
47,normalized,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.24870896339416504,DecisionTreeClassifier()
48,normalized,LogisticRegression,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.25515222549438477,"LogisticRegression(C=10, penalty='l1', solver='liblinear')"
49,normalized,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],28.72597360610962,"MLPClassifier(activation='tanh', alpha=0.001, hidden_layer_sizes=(100, 100),
              max_iter=500)"
50,normalized,GaussianNB,{'var_smoothing': 1e-09},0.9397590361445783,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.11673474311828613,GaussianNB()
51,normalized,Perceptron,"{'alpha': 0.0001, 'max_iter': 1000, 'penalty': 'elasticnet'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.25162434577941895,Perceptron(penalty='elasticnet')
52,normalized,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.621400117874146,"RandomForestClassifier(max_depth=20, min_samples_leaf=4, n_estimators=50)"
53,normalized,SVC,"{'C': 0.1, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.1840922832489014,"SVC(C=0.1, coef0=0.5, degree=4, kernel='poly')"
